DOI,Components,Pressure,Temperature (C),Speed (mm/s),Needle,Cells (e6/ml),Additional notes,
https://10.1016/j.actbio.2019.03.041,PCL [70 wt%] Hydroxyapatite [30 wt%] ,5.5 bar,160,0.8,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2018.0307,PCL [100 wt%] ,5 bar,160,1.2,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2018.0307,PCL [70 wt%] Hydroxyapatite [30 wt%] ,5.7 bar,160,0.5,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2018.0307,PCL [70 wt%] Beta Tricalcium Phosphate [30 wt%] ,5.5 bar,160,0.8,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1089/ten.tec.2018.0307,PCL [70 wt%] Hydroxyapatite [15 wt%] Beta Tricalcium Phosphate [15 wt%] ,5.7 bar,160,0.7,22 Gauge Cylindrical, ,"PCL molecular weight = 50 kDa"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,110,1.5,200 µm Cylindrical, ,"LA:GA = 50:50, 9.73 kDa, ester endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,135,0.7,200 µm Cylindrical, ,"LA:GA = 50:50, 30.3 kDa, ester endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,165,0.7,200 µm Cylindrical, ,"LA:GA = 60:40, 42.6 kDa, ester endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,150,1.5,200 µm Cylindrical, ,"LA:GA = 60:40, 33.8 kDa, Acid cap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,170,0.5,200 µm Cylindrical, ,"LA:GA = 85:15, 61.9kDa, ester cap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,7.5 bar,95,1.5,400 µm Cylindrical, ,"LA:GA = 50:50, 9.73 kDa, ester cap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,8 bar,125,1.5,400 µm Cylindrical, ,"LA:GA = 50:50, 30.3 kDa, Ester endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,9 bar,140,0.5,400 µm Cylindrical, ,"LA:GA = 60:40, 42.6 kDa, Ester endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,8 bar,130,1,400 µm Cylindrical, ,"LA:GA = 60:40, 33.8 kDa, acid endcap"
https://10.1088/1758-5090/aa6370,PLGA [100 wt%] ,8 bar,145,0.5,400 µm Cylindrical, ,"LA:GA = 85:15, 61.9 kDa, ester endcap"
https://10.1002/jbm.a.36426,PLGA [100 wt%] ,9 bar,165,4,200 µm Cylindrical, ,"LA:GA = 85:15, 35 kD"
https://10.1016/j.biomaterials.2018.09.022,PLCL [85 wt%] PLGA [15 wt%] ,6.5 bar,155,4.2,200 µm Cylindrical, ,"Lactic Acid: Caprolactone = 70:30. 45-55kD"
https://10.1088/1758-5090/8/4/045015,Polyurethane [40 wt%] ,250 kPa,25,1.67,200 µm Cylindrical, ,""
https://10.1038/nbt.3413,Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50 kPa - 80 kPa,18,1 - 3,300 µm Conical,Primary Human Amniotic Fluid-derived Stem Cells (5),""
https://10.1038/nbt.3413,Gelatin [45 mg/mL] Fibrinogen [30 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50 kPa - 80 kPa,18,1 - 3,300 µm Conical,Primary Rabbit Ear Chondrocytes (40),""
https://10.1038/nbt.3413,Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50 kPa - 80 kPa,18,1 - 3,300 µm Conical,C2C12 Myoblasts (3),""
https://10.1038/nbt.3413,PCL [100 wt%] ,800 kPa,95,,250 µm Conical, ,"PCL Mw = 43,000 - 50,000."
https://10.1038/nbt.3413,Pluronic F127 [33 wt%] Glycerol [10 %] ,200 kPa,18,,250 µm Conical, ,""
https://10.1016/j.actbio.2018.02.007,Fibrinogen [20 mg/mL] Gelatin [30 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,100 kPa,18,1.67,200 µm Conical,Primary Neonatal Rat Ventricular Cardiomyocytes (10),""
https://10.1016/j.actbio.2018.02.007,PCL [100 wt%] ,750 kPa,98,1.67,300 µm Conical, ,"PCL Mw = 43,000 - 50,000."
https://10.1038/s41598-018-29968-5,Fibrinogen [20 mg/mL] Gelatin [35 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50 kPa - 70 kPa,18,1 - 3,300 µm Conical,Primary Human Muscle Progenitor Cells (30),""
https://10.1038/s41598-018-29968-5,Gelatin [35 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50 kPa - 80 kPa,18,2.67,300 µm Conical, ,""
https://10.1038/s41598-018-29968-5,PCL [100 wt%] ,780 kPa,95,1.25,300 µm Conical, ,"PCL Mw = 43,000 - 50,000."
https://10.1016/j.bprint.2018.e00028,Hyaluronic Acid [3 mg/mL] Gelatin [30 mg/mL] Fibrinogen [20 mg/mL] Glycerol [10 %] ,60 kPa,18,1 - 3,300 µm Conical,Human Epidermal Keratinocytes (10),""
https://10.1016/j.bprint.2018.e00028,Hyaluronic Acid [3 mg/mL] Gelatin [30 mg/mL] Fibrinogen [20 mg/mL] Glycerol [10 %] ,60 kPa,18,1 - 3,300 µm Conical,Human Epidermal Fibroblasts (5),""
https://10.1016/j.bprint.2018.e00028,Polyurethane [100 wt%] ,1500 kPa,160,3.34 - 6.67,200 µm Conical, ,""
https://10.1002/bit.26514,Hydroxyapatite [60 wt%] Beta Tricalcium Phosphate [40 wt%] ,600 kPa,25,1.67,610 µm Conical, ,""
https://10.1002/bit.26514,Hydroxyapatite [60 wt%] Beta Tricalcium Phosphate [40 wt%] Zirconium oxide [10 wt%] ,600 kPa,25,1.67,610 µm Conical, ,""
https://10.1089/ten.tec.2019.0217,Polystyrene [100 wt%] ,900 kPa,155,3 - 5,400 µm Cylindrical, ,""
https://10.1089/ten.tec.2019.0217,Glass Sugar [100 wt%] ,70 kPa - 80 kPa,155,10 - 30,300 µm Cylindrical, ,""
https://10.1016/j.bprint.2020.e00076,Gelatin Methacrylated [7.5 wt%] ,0.4 bar,23,4,27 Gauge Conical,L929 Fibroblasts (1),"These conditions are compatible with engraving technology. Due to the low viscosity of the ink it might not be possible to be printed without a "mold" (i.e. engraved fiber) or sacrificial material"
https://10.1089/ten.tea.2019.0204,PCL [90 wt%] Hydroxyapatite [10 wt%] ,5.2 bar,160,1.1,22 Gauge Cylindrical, ,""
https://10.1089/ten.tea.2019.0204,PCL [80 wt%] Hydroxyapatite [10 wt%] Beta Tricalcium Phosphate [10 wt%] ,6 bar,160,1.3,22 Gauge Cylindrical, ,""
https://10.1089/ten.tea.2019.0204,PCL [70 wt%] Hydroxyapatite [10 wt%] Beta Tricalcium Phosphate [20 wt%] ,6.2 bar,160,0.7,22 Gauge Cylindrical, ,""
https://10.1021/acsbiomaterials.6b00026,Polypropylene fumarate (PPF) [85 wt%] Diethyl fumarate (DEF) [15 wt%] ,2 bar - 4 bar,55,5 - 20,250 µm Conical, ,""
https://10.1021/acsbiomaterials.6b00026,Polypropylene fumarate (PPF) [90 wt%] Diethyl fumarate (DEF) [10 wt%] ,2 bar - 4 bar,55,5 - 10,250 µm Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [75 wt%] Diethyl fumarate (DEF) [12 wt%] Hydroxyapatite [10 wt%] SDS/DMSO [3 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [76 wt%] Diethyl fumarate (DEF) [12 wt%] Hydroxyapatite [10 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [75 wt%] Diethyl fumarate (DEF) [15 wt%] ,0.3 bar - 0.3 bar,50 - 50,12 - 12,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [82 wt%] Diethyl fumarate (DEF) [15 wt%] Hydroxyapatite [1.25 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [82 wt%] Diethyl fumarate (DEF) [14 wt%] Hydroxyapatite [2.5 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [79 wt%] Diethyl fumarate (DEF) [14 wt%] Hydroxyapatite [5 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1080/09205063.2017.1286184,Polypropylene fumarate (PPF) [75 wt%] Diethyl fumarate (DEF) [13 wt%] Hydroxyapatite [10 wt%] ,0.4 bar - 0.8 bar,55 - 65,1.5 - 10,18 Gauge Conical, ,""
https://10.1021/acsbiomaterials.6b00641,Polypropylene fumarate (PPF) [85 wt%] Diethyl fumarate (DEF) [15 wt%] ,0.8 bar - 1.6 bar,55 - 55,5 - 5,340 µm Conical, ,""
https://10.1002/adfm.201907145,Gelatin Methacrylated [7.5 wt%] ,0.8 bar - 1.3 bar,19 - 23,6,400 µm Cylindrical,Primary Adult Human Dermal Fibroblasts (2),"Each layer was exposed to UV for 5 secs directly after printing. This helped stabilize the print's large, complex shape of a nose throughout the 6 hour print duration time. Intermittent UV exposure was crucial for a successful print."
https://10.1002/adfm.201907145,PEG Norbornene [5 wt%] PEG Thiol [5 wt%] Alginate [4 wt%] ,3.5 bar - 4.5 bar,26 - 26,6,400 µm Cylindrical, ,""
https://https://doi.org/10.1161/CIRCRESAHA.119.316155,Gelatin Methacrylated [10 wt%] Collagen Methacrylated [0.25 wt%] Laminin [0.09375 mg/mL] Fibronectin [0.09375 mg/mL] ,28 kPa - 38 kPa,27,10,26 Gauge Cylindrical,Human Induced Pluripotent Stem Cells (15),"Rectilinear infill pattern, 40% infill, 0.6mm layer height. Printed in gelatin slurry. Crosslinked during printing, followed by 20 seconds crosslinking on each six sides of print."
https://10.1016/j.bprint.2016.08.003,Cellulose Nanofibrillated [2 wt%] Alginate [0.5 wt%] ,40 kPa,23,5,300 µm Cylindrical,Primary Human Nasoseptal Cartilage (20),"Constructs were crosslinked with 100mM CaCl2 for 10 minutes."
https://10.1007/s10856-019-6258-2,Pluronic F127 [60 wt%] Collagen [6 wt%] ,50 kPa - 85 kPa,37,3.333,337 µm Cylindrical,Primary Rat Bone Marrow-Derived Mesenchymal Stem Cells (10),""
https://10.1089/ten.TEC.2020.0053,Gelatin Methacrylated [5 wt%] ,300 kPa,22,6,260 µm Cylindrical,Primary Rat Bone Mesenchymal Stem Cells (5),"Cooling system implemented for the receiving platform."
https://10.3390/bioengineering5030055,Gelatin Methacrylated [5 wt%] Alginate-2-Hydroxyethyl Methacrylate [3 wt%] ,3.8 psi,37,4.3333,400 µm Cylindrical, ,"Construct crosslinked with Irgacure 2959 (0.1 wt%, .12mW/cm2) post print"
https://10.3390/bioengineering5030055,Gelatin Methacrylated [5 wt%] Silicate Nanoparticles [1 wt%] ,2.8 psi,30,4.3333,400 µm Cylindrical, ,"Construct crosslinked with Irgacure 2959 (0.1 wt%, .12mW/cm2) post print"
https://10.1039/C9BM01271K,Gelatin Methacrylated [4 wt%] Chitosan [4 wt%] ,400 kPa,40,8,200 µm Cylindrical, ,"Construct crosslinked with Irgacure 2959 (0.5 wt%, .50mW/cm2) post print"
https://10.1039/C9BM01271K,Gelatin Methacrylated [4 wt%] Chitosan [4 wt%] ,500 kPa,40,5,150 µm Cylindrical, ,"Construct crosslinked with Irgacure 2959 (0.5 wt%, 50mW/cm2) post print"
https://10.1016/j.jmbbm.2017.12.018,Alginate [5 wt%] Gelatin [6 wt%] ,103 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1016/j.jmbbm.2017.12.018,Alginate [5 wt%] Gelatin [8 wt%] ,172 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1016/j.jmbbm.2017.12.018,Alginate [7 wt%] Gelatin [8 wt%] ,193 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1016/j.jmbbm.2017.12.018,Alginate [9 wt%] Gelatin [6 wt%] ,276 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1016/j.jmbbm.2017.12.018,Alginate [5 wt%] Gelatin [10 wt%] ,310 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1016/j.jmbbm.2017.12.018,Alginate [7 wt%] Gelatin [6 wt%] ,186 kPa,37,5,27 Gauge Cylindrical, ,""
https://10.1002/adhm.201801631,Alginate [3 wt%] Methylcellulose [9 wt%] ,40 kPa - 50 kPa,25,10,840 µm Cylindrical, ,"Pancreatic Inslets were encapsulated into the scaffold. The constructs were also crosslinked with 70mM SrCl2 for 10 minutes."
https://10.1021/acsami.9b09782,Gelatin Methacrylated [5 wt%] ,,15 - 25,4 - 6,210 µm Cylindrical,NIH 3T3 Fibroblasts (1),"Construct crosslinked with Irgacure 2959 (0.5 wt%, 8mW/cm2, 40s) post print"
https://10.1021/acsami.9b09782,Gelatin Methacrylated [5 wt%] Silk Fibroin [1 wt%] ,,15 - 25,4 - 6,210 µm Cylindrical,NIH 3T3 Fibroblasts (1),"Construct crosslinked with Irgacure 2959 (0.5 wt%, 8mW/cm2, 40s) post print"
https://10.1016/j.jmbbn.2019.06.014,Alginate [2 wt%] Kappa Carrageenan [1.5 wt%] ,50 kPa,25,2,510 µm Cylindrical,Primary Rabbit Adipose-Dervied Mesenchymal Stem Cells (5),"CaSO4 was used at 1 wt% to initially crosslink the hydrogels"
https://10.1016/j.jmbbn.2019.06.014,Alginate [2 wt%] ,30 kPa,25,4,510 µm Cylindrical,Primary Rabbit Adipose-Dervied Mesenchymal Stem Cells (5),"CaSO4 was used at 1 wt% to initially crosslink the hydrogels"
https://10.1038/s41598-020-61606-c,Alginate [3 wt%] ,50 kPa,22,2.5,30 Gauge Cylindrical,NIH 3T3 Fibroblasts (1),"A pluronic F127 and laponite support bath was used. The bath also contained 1wt% CaCl2 ."
https://10.1007/s42242-020-00076-6,Hyaluronic Acid [2 wt%] Alginate [1 wt%] Gelatin [3.75 wt%] ,3 Bar,37,2.3,25 Gauge Cylindrical,Human Glial Cells (1.5),""
https://10.1007/s42242-020-00076-6,Hyaluronic Acid [2 wt%] Alginate [1 wt%] Gelatin [7.5 wt%] ,3 Bar,37,2.3,25 Gauge Cylindrical,Human Glial Cells (1.5),""
https://10.1002/term.1682,PCL [100 wt%] ,650 kPa,80,1.333,250 µm Cylindrical, ,"PCL MW = 70,000 - 90,000"
https://10.1002/term.1682,Alginate [4 wt%] ,9 kPa,22,6.666667,250 µm Conical,Primary Human Nasal Septal Cartilage Chondrocyte (1),"Alginate was dispensed in the lines between the lines of the PCL layers"
https://10.1002/term.1682,Alginate [6 wt%] ,20 kPa,22,6.666667,250 µm Conical,Primary Human Nasal Septal Cartilage Chondrocyte (1),"Alginate was dispensed in the lines between the lines of the PCL layers"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,220,6,400 µm Cylindrical, ,"An FDM printer was used. 0 µm in-plane pore size"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,215,6,400 µm Cylindrical, ,"An FDM printer was used. 100 µm in-plane pore size, printing head temp was set to 220 C for first layer"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,215,6,400 µm Cylindrical, ,"An FDM printer was used. 200 µm in-plane pore size, printing head temp was set to 215 C for first layer"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,212,6,400 µm Cylindrical, ,"An FDM printer was used. 400 µm in-plane pore size, printing head temp was set to 220 C for first layer"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,212,6,400 µm Cylindrical, ,"An FDM printer was used. 600 µm in-plane pore size, printing head temp was set to 220 C for first layer"
https://10.1002/jbm.a.37006,PCU [100 wt%] ,N/A,212,6,400 µm Cylindrical, ,"An FDM printer was used. 800 µm in-plane pore size, printing head temp was set to 220 C for first layer"
https://10.1016/j.bprint.2020.e00076,PCL [100 wt%] ,6.5 Bar,140,0.5,18 Gauge Cylindrical, ,"PCL molecular weight is 50KDa. PCL was engraved and then filled with low-viscosity photocurable inks(GelMA or E-Shell)"
https://10.1016/j.bprint.2020.e00076,E-Shell 300 [100 wt%] ,0.3 Bar,22,20,27 Gauge Conical, ,""
https://10.1016/j.bprint.2020.e00076,Gelatin Methacrylated [7.5 wt%] ,0.4 Bar,24,4,27 Gauge Conical,L929 Fibroblasts (1),""
https://10.1002/adfm.201801331,Hyaluronic Acid Adamantane [2 wt%] Hyaluronic Acid β-cyclodextrin [2 wt%] ,172 kPa,25,0.416667 - 0.5,30 Gauge Cylindrical, ,"Used as a sacrificial ink to create a channel."
https://10.1002/adfm.201801331,Hyaluronic Acid β-cyclodextrin [1.5 wt%] Hyaluronic Acid Adamantane Norbornene [1.5 wt%] ,172 kPa,25,0.416667 - 0.5,30 Gauge Cylindrical, ,"Supplemented with 4 mM thiolated RGD peptide and 1.2mM thiolated crosslinker. Crosslinking occurred postprinting."
https://10.1002/adhm.201901794,Gelatin Methacrylated [10 wt%] Calcium Peroxide [0.5 wt%] ,80 kPa,4,20,23 Gauge Cylindrical,NIH 3T3 Fibroblasts (5),""
https://10.1016/j.actbio.2014.02.041,PCL [50 wt%] pHMGCL Methacrylated [50 wt%] ,500 kPa,140,4.16667,25 Gauge Cylindrical, ,"pHMGCL stands for poly(hydroxymethylglycolide-co-e-caprolactone). 20 C air was blown over the construct to facilitate solidification. PCL has a 79.1 kDA molecular weight."
https://10.1016/j.actbio.2014.02.041,PCL [50 wt%] pHMGCL [50 wt%] ,500 kPa,140,4.16667,25 Gauge Cylindrical, ,"pHMGCL stands for poly(hydroxymethylglycolide-co-e-caprolactone). 20 C air was blown over the construct to facilitate solidification. PCL has a 79.1 kDA molecular weight."
https://10.1016/j.actbio.2014.02.041,PCL [100 wt%] ,500 kPa,160,4.1667,25 Gauge Cylindrical, ,"PCL has a 79.1 kDA molecular weight."
https://10.1021/acsbiomaterials.8b00903,Agarose [3 wt%] Alginate [2 wt%] ,65 psi - 75 psi,37,,30 Gauge Cylindrical, ,""
https://10.1016/j.msec.2019.110205,PVA [100 wt%] ,NA,180,70,400 µm Cylindrical, ,"PVU was used as a sacrificial mold."
https://10.1016/j.msec.2019.110205,Alginate [20 mg/ml] Agarose [18 mg/ml] Platelet rich plasma (PRP) [20% v/v] ,0.3 Bar,37,70,1600 µm Cylindrical,H9C2 Myoblasts ,""
https://10.1016/j.msec.2019.110205,Alginate [20 mg/ml] Agarose [18 mg/ml] Platelet rich plasma (PRP) [20% v/v] ,0.3 Bar,37,70,1600 µm Cylindrical,Human Umbilical Vein Endothelial Cells (4),""
https://10.1088/1758-5090/aacdc7,Gelatin [8 wt%] ,60 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1088/1758-5090/aacdc7,Gelatin [6 wt%] Alginate [3 wt%] ,70 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1088/1758-5090/aacdc7,Gelatin [5 wt%] Alginate [6 wt%] ,90 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1088/1758-5090/aacdc7,Gelatin [4 wt%] Alginate [7 wt%] ,70 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1088/1758-5090/aacdc7,Gelatin [4 wt%] Alginate [8 wt%] ,85 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1088/1758-5090/aacdc7,Gelatin [4 wt%] Alginate [9 wt%] ,70 kPa,21,3.3333,25 Gauge Conical, ,""
https://10.1016/j.bprint.2019.e00053,Alginate [2 wt%] ,10 psi - 12.5 psi,25,8,30 Gauge Cylindrical,SK-N-BE(2) Neuroblasts (1),"Gelatin support gel was used via the FRESH method"
https://10.1016/j.dental.2019.08.114,Gelatin Methacrylated [12.5 wt%] ,120 kPa - 150 kPa,25,10 - 12,25 Gauge Conical,Primary Human Periodontal Ligament Cells (2),"Crosslinking occurred post printing."
https://10.1016/j.dental.2019.08.114,Gelatin Methacrylated [15 wt%] ,250 kPa - 280 kPa,25,8 - 10,25 Gauge Conical, ,""
https://10.1016/j.dental.2019.08.114,Gelatin Methacrylated [10 wt%] ,160 kPa - 200 kPa,25,5 - 8,27 Gauge Conical, ,""
https://10.1016/j.dental.2019.08.114,Gelatin Methacrylated [12.5 wt%] ,230 kPa - 250 kPa,25,10 - 12,27 Gauge Conical,Primary Human Periodontal Ligament Cells (2),"Crosslinking occurred post printing."
https://10.1016/j.dental.2019.08.114,Gelatin Methacrylated [15 wt%] ,420 kPa - 450 kPa,25,8 - 10,27 Gauge Conical, ,""
https://10.1021/acsami.7b04216,Alginate [3 wt%] ,0.3 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Methylcellulose [1 wt%] ,0.3 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Alginate [3 wt%] Methylcellulose [1 wt%] ,0.8 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Methylcellulose [3 wt%] ,2 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Alginate [3 wt%] Methylcellulose [3 wt%] ,2 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Methylcellulose [9 wt%] ,4 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath."
https://10.1021/acsami.7b04216,Alginate [3 wt%] Methylcellulose [9 wt%] ,4 Bar,25,,25 Gauge Conical, ,"Constructs were submerged in A 40mg/ml CaCl2 bath. Furthermore, a trisodium citrate solution with L929 Fibroblasts were printed between each layer."
https://10.1021/acs.biomac.8b00696,Alginate Norbornene [2 wt%] PEG dithiol 1500 [10 mol %] ,30 kPa,25,10,25 Gauge Cylindrical,L929 Fibroblasts (3),"Bioink conjugated with Thiol-RGD"
https://10.1021/acs.biomac.8b00696,Alginate Norbornene [2 wt%] PEG 4-arm 5000 [10 mol %] ,30 kPa,25,5 - 10,25 Gauge Cylindrical,ATDC5 Chondrocytes (3),"Bioink conjugated with Thiol-RGD"
https://10.1038/s41598-018-26407-3,Alginate [8 wt%] Gelatin [20 wt%] ,200 kPa,10,6.5,340 µm Conical,Primary Mouse Epidermal Stem Cells (1),"PBS was used as a solvent with an ionic strength of .082 M. Construct crosslinked in 10% CaCl2"
https://10.1038/s41598-019-55034-9,Alginate [3.25 wt%] Gelatin [4 wt%] ,35 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3.25 wt%] Gelatin [4 wt%] ,35 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3.5 wt%] Gelatin [4 wt%] ,60 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3.5 wt%] Gelatin [4 wt%] ,60 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3 wt%] Gelatin [4 wt%] ,20 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
